15	https://youtube.com/watch?v=r1yilkC_u38	BEYOOOOONDS - Chica#Tetsu - 高輪ゲートウェイ駅ができる頃には	CHICA#TETSU チカ＃テツ - 「 高輪ゲートウェイ駅ができる頃には 」 / Takanawa Gateway Eki [ 歌割り / KAN/ROM/ENG LYRICS ]	Little Flower Factory
22	https://youtube.com/watch?v=mR45LXNLYZ8	BEYOOOOONDS - 元年（五年）バンジージャンプ 【ハロ！ステ#462】	【ハロ！ステ#462】Hello! Project 2023 チームC「元年（五年）バンジージャンプ」Year-End Party「46億年LOVE」キッチン＆歌詞 MC:北川莉央＆川村文乃	ハロ！ステ
62	https://youtube.com/watch?v=C_2LeeH2uCE	CIRGO GRINCO - Agility	AGUINALDO: AGILA NG CAGAYAN: Lito Lapid, Aiko Melendez & Sunshine Cruz | Full Movie	Regal Entertainment, Inc.
63	https://youtube.com/watch?v=2l1vPZX6yu8	CIRGO GRINCO - First Light	Shatta Wale - Minamino Sin (Official Video)	Shatta Wale
64	https://youtube.com/watch?v=y2cFkVfVf2Y	CIRGO GRINCO - Last of Z	YG - Go Loko ft. Tyga, Jon Z	YG
68	https://youtube.com/watch?v=8zZ0Ra22Di0	CIRGO GRINCO - Sweetest Revolution	BEST OF ROOTS REGGAE MIX FEAT WAILING SOULS, CULTURE, BOB MARLEY, DJ BUNDUKI THE STREET VIBE #39	RICHY HANIEL
69	https://youtube.com/watch?v=HoYo9ls30-4	CIRGO GRINCO - Up to You	Molotov - Frijolero // Letra	sunshine
70	https://youtube.com/watch?v=MEIX1U8tUW4	CIRGO GRINCO - WITH THE RAINBOW	Guess the Italian Animal Meme by Emoji🤣Brainrot Memes😀Tralalero🦈Bombardino🐊Guess Quiz	Adivina Sin Limites - Quiz
560	https://youtube.com/watch?v=mR45LXNLYZ8	アンジュルム - 46億年LOVE - ハロ！ステ#462	【ハロ！ステ#462】Hello! Project 2023 チームC「元年（五年）バンジージャンプ」Year-End Party「46億年LOVE」キッチン＆歌詞 MC:北川莉央＆川村文乃	ハロ！ステ
577	https://youtube.com/watch?v=-Yo0G02Liwk	アンジュルム - 明晩、ギャラクシー劇場で  【ハロ！ステ#464】	【ハロ！ステ#464】Hello! Project Winter「明晩、ギャラクシー劇場で」Year-End Party「KEEP ON 上昇志向！！」キッチン＆歌詞発表会 MC:岡村ほまれ＆工藤由愛	ハロ！ステ
580	https://youtube.com/watch?v=l-lRCJ5cNKw	キリグニア (instrumental)	[I don't like people who do this at karaoke...]	過眠ちゃん寝る😪メンヘラ心癒所
583	https://youtube.com/watch?v=AN82dcVTdd0	サキノソト - ぼくの隣	GEMINI。-「夏の灯」 【OFFICIAL MUSIC VIDEO】	GEMINI。
636	https://youtube.com/watch?v=4v3E9WokllA	モーニング娘。 - 笑顔YESヌード 【ハロ！ステ#434】	[Hello! Station #434] Morning Musume. '22 CONCERT TOUR ~Never Been Better!~ Morito Chisaki Gradua...	ハロ！ステ
702	https://youtube.com/watch?v=jPLeO_oezFQ	植村あかり - 想いあふれて	ソロフェスで全く緊張していないJuice=Juiceオリメン達がかっこ良すぎるwww	daisy_flower
705	https://youtube.com/watch?v=FrIwTng0_g8	段原瑠々, 井上玲音 - 好きかもしれない	【段原瑠々・井上玲音】好きって言ってよ（Juice=Juice）- Remaster -	D studio
707	https://youtube.com/watch?v=rwPKb6daknA	段原瑠々, 井上玲音 - 悲しきヘブン	ライブ中のハプニングにも動じないJuice=Juice	【ハロヲタ】戴冠
708	https://youtube.com/watch?v=0KYaFFQQULo	段原瑠々, 井上玲音 - 愛・愛・傘	植村あかり、段原瑠々、井上玲音、工藤由愛、松永里愛 『風に吹かれて』	M.M
710	https://youtube.com/watch?v=1XNE_aCHf34	段原瑠々, 井上玲音 - 表面張力〜Surface Tention〜	「ロマンスに目覚める妄想女子の歌」「表面張力～Surface Tension～」	パンコロッケ
711	https://youtube.com/watch?v=DagF7h3ek4s	水生 (instrumental)	水生/CYNHN - 水槽 × koshi (Cover)	suisoh
